"SNo","Doctor Name","Specialisation","Sub-Specialisation","Qualification","Experience (Yrs)","Hospital / Clinic","District","City","Hospital Contact","Source / Reference"
"1","Dr. Anil Kumar R","Cardiologist","Interventional Cardiology","MBBS, MD, DM (Cardiology), MRCP(UK), FRCP, FACC","25+","Aster Medcity","Ernakulam","Kochi","+91-484-6699999","asterhospitals.in/hospitals/aster-medcity-kochi"
"2","Dr. Rajiv C","Cardiologist","Advanced Heart Valve & Interventional Cardiology","MBBS, MD, DM","26+","Aster Medcity","Ernakulam","Kochi","+91-484-6699999","asterhospitals.in/hospitals/aster-medcity-kochi"
"3","Dr. Sunil Roy T N","Cardiologist","Interventional Cardiology","MBBS, MD, DM, FACC, FESC, FCSI, FGHA","14+","Aster Medcity","Ernakulam","Kochi","+91-484-6699999","asterhospitals.in/hospitals/aster-medcity-kochi"
"4","Dr. Rony Mathew Kadavil","Cardiologist","General Cardiology (HOD)","MBBS, MD, DM","20+","Lisie Hospital","Ernakulam","Kochi","+91-484-2401011","lisiehospital.org"
"5","Dr. Jabir Abdullakutty","Cardiologist","Electrophysiology & Structural","MBBS, MD, DM","18+","Lisie Hospital","Ernakulam","Kochi","+91-484-2401011","lisiehospital.org"
"6","Dr. Jacob Joseph","Cardiologist","Adult Coronary Cardiology","MBBS, MD, DM","15+","Lisie Hospital","Ernakulam","Kochi","+91-484-2401011","lisiehospital.org"
"7","Dr. Jo Joseph","Cardiologist","General Cardiology","MBBS, MD, DM","12+","Lisie Hospital","Ernakulam","Kochi","+91-484-2401011","lisiehospital.org"
"8","Dr. Jimmy George","Cardiologist","Cardiology","MBBS, MD, DM","10+","Lisie Hospital","Ernakulam","Kochi","+91-484-2401011","lisiehospital.org"
"9","Dr. Stigi Joseph","Cardiologist","Interventional Cardiology (HOD)","MD, DM (Cardio) SCTIMST, Fellow ICPS Paris","20+","Little Flower Hospital","Ernakulam","Angamaly","+91-484-2452201","lfhospital.org"
"10","Dr. Sajan Narayanan","Cardiologist","General Cardiology","MD (Med.), DM (Cardio), FESC","18+","Little Flower Hospital","Ernakulam","Angamaly","+91-484-2452201","lfhospital.org"
"11","Dr. Anwar C Varghese","Cardiologist","General Cardiology","MD (Med.), DM (Cardio)","15+","Little Flower Hospital","Ernakulam","Angamaly","+91-484-2452201","lfhospital.org"
"12","Dr. Rajesh G","Cardiologist","General Cardiology","MD (Med.), DM (Cardio)","12+","Little Flower Hospital","Ernakulam","Angamaly","+91-484-2452201","lfhospital.org"
"13","Dr. Ramdas Nayak H","Cardiologist","Interventional Cardiology","MBBS, MD, DM","20+","Mar Sleeva Medicity","Kottayam","Palai","04822-269500","marsleevamedicity.com"
"14","Prof. Dr. Raju George","Cardiologist","General Cardiology","MBBS, MD, DM","25+","Mar Sleeva Medicity","Kottayam","Palai","04822-269500","marsleevamedicity.com"
"15","Dr. James Thomas","Cardiologist","Cardiology","MBBS, MD, DM","15+","Mar Sleeva Medicity","Kottayam","Palai","04822-269500","marsleevamedicity.com"
"16","Dr. Biby Chacko Olari","Cardiologist","Cardiology","MBBS, MD, DM","12+","Mar Sleeva Medicity","Kottayam","Palai","04822-269500","marsleevamedicity.com"
"17","Dr. Rajeev Abraham","Cardiologist","Cardiology","MBBS, MD, DM","14+","Mar Sleeva Medicity","Kottayam","Palai","04822-269500","marsleevamedicity.com"
"18","Dr. K. M. Cherian","Cardiologist","Cardiac Surgery (Padma Shri)","MBBS, MS, MCh (Cardiothoracic Surgery)","50+","KMC Hospital (Dr KM Cherian IMS)","Alappuzha","Chengannur","0479-2363300","drkmcims.com"
"19","Dr. Cardiologist - Aster MIMS (1)","Cardiologist","Interventional Cardiology","MBBS, MD, PDCC","12+","Aster MIMS Hospital","Kozhikode","Kozhikode","+91-495-6181800","asterhospitals.in/hospitals/aster-mims-calicut"
"20","Dr. Cardiologist - Aster MIMS (2)","Cardiologist","General Cardiology","MBBS, MD, DM (Cardiology)","10+","Aster MIMS Hospital","Kozhikode","Kozhikode","+91-495-6181800","asterhospitals.in/hospitals/aster-mims-calicut"
"21","Dr. Cardiologist - Aster MIMS (3)","Cardiologist","Cardiology","MBBS, MD, DNB, MNAMS","14+","Aster MIMS Hospital","Kozhikode","Kozhikode","+91-495-6181800","asterhospitals.in/hospitals/aster-mims-calicut"
"22","Dr. Cardiologist - Aster MIMS (4)","Cardiologist","Cardiology","MD, DM, MRCP(UK)","16+","Aster MIMS Hospital","Kozhikode","Kozhikode","+91-495-6181800","asterhospitals.in/hospitals/aster-mims-calicut"
"23","Dr. Cardiologist - Aster MIMS (5)","Cardiologist","CTVS Surgery","MBBS, MS, MCh (CTVS), FIACS","18+","Aster MIMS Hospital","Kozhikode","Kozhikode","+91-495-6181800","asterhospitals.in/hospitals/aster-mims-calicut"
"24","Dr. Cardiologist - VPS Lakeshore","Cardiologist","Interventional Cardiology","MD, DM (Cardiology), FESC, FACC, FSCAI, FRCP","20+","VPS Lakeshore Hospital","Ernakulam","Kochi","+91-484-2701000","vpslakeshorehospital.com"
"25","Dr. Vivek Nambiar","Neurologist","Stroke & Neurology","MBBS, MD (Gen Medicine), DM (Neurology)","18","Amrita Institute of Medical Sciences","Ernakulam","Kochi","+91-484-2801234","amritahospitals.org/kochi"
"26","Dr. Shyma M M","Neurologist","Adult & Paediatric Neurology","MBBS, DCH, MD, DM (Neurology)","8.5","Sunrise Hospital","Ernakulam","Kakkanad Kochi","+91-484-2780084","sunrisehospitalcochin.com"
"27","Dr. Boby Varkey Maramattom","Neurologist","Interventional Neurology","MBBS (SIMC Bangalore), MD (Kasturba MC), DM (SCTIMST)","29","Apollo Adlux Hospital","Ernakulam","Kochi","+91-484-2971000","apolloadluxhospital.co"
"28","Dr. Mathew Abraham","Neurologist","Dementia / Parkinson's / Headache","MD (Med), DM (Neuro), FRCP (London)","48","Aster Medcity","Ernakulam","Kochi","+91-484-6699999","asterhospitals.in/hospitals/aster-medcity-kochi"
"29","Dr. Asha Kishore","Neurologist","Parkinson's & Movement Disorders","MD (Internal Medicine), DM (Neurology), Clinical Research Fellowship","30+","Aster Medcity","Ernakulam","Kochi","+91-484-6699999","asterhospitals.in/hospitals/aster-medcity-kochi"
"30","Dr. Reji Paul","Neurologist","Complex Neurological Disorders","MBBS, MD, DM (Neurology)","20+","Aster Medcity","Ernakulam","Kochi","+91-484-6699999","asterhospitals.in/hospitals/aster-medcity-kochi"
"31","Dr. M. Pradeep","Neurologist","General Neurology","MBBS, MD, DM (Neurology), FRCP (Edin.), FRCP (London), FACP (USA)","42","Thangam Hospital of PMRC","Palakkad","Palakkad","0491-2524900","thangampmrc.com"
"32","Dr. V. T. Haridas","Neurologist","General Neurology","MBBS, DNB (Med), DNB (Neuro), DM Neuro (NIMHANS)","20+","Multiple Hospitals Kerala","Kerala","Kerala","—","Practo profile"
"33","Dr. Sarath Menon","Neurologist","General Neurology","MD, DNB, DM, DNB, MRCP (Neuro), FEBN","18+","Multiple Hospitals Kerala","Kerala","Kerala","—","Practo profile"
"34","Dr. A. S. Girija","Neurologist","Epilepsy / Headache / Neuro-immunology","MBBS, MD, DM (Madras Medical College)","32+","Baby Memorial Hospital","Kozhikode","Kozhikode","+91-495-2723272","babymhospital.org"
"35","Dr. K. A. Salam","Neurologist","Stroke / General Neurology (Past President NSI Kerala)","MBBS, MD, DM","35+","Baby Memorial Hospital","Kozhikode","Kozhikode","+91-495-2723272","babymhospital.org"
"36","Dr. Ummer","Neurologist","Stroke / Botox / Carotid Stenting / Aneurysm Coiling","MBBS, MD, DM, FRCP(Glasg), FAAN, FEAN","17+","Baby Memorial Hospital","Kozhikode","Kozhikode","+91-495-2723272","babymhospital.org"
"37","Dr. Susanth M J","Neurologist","General Neurology","MD, DM (Neurology)","14+","Private Hospital","Thiruvananthapuram","Thiruvananthapuram","—","Practo profile"
"38","Dr. Akbar Mohamed Chetali","Neurologist","Paediatric Neurology","MBBS, MD, DM","12+","Private Practice","Ernakulam","Kochi","—","Practo profile"
"39","Dr. Paul Thomas","General Physician","Internal Medicine","MBBS, MD","20+","General Hospital Ernakulam","Ernakulam","Kochi","+91-484-2361234","generalhospitalernakulam.in"
"40","Dr. Vijo George","General Physician","Internal Medicine","MBBS, MD","18+","General Hospital Ernakulam","Ernakulam","Kochi","+91-484-2361234","generalhospitalernakulam.in"
"41","Dr. GP - Aster Medcity","General Physician","Internal Medicine","MBBS, MD (General Medicine)","10+","Aster Medcity","Ernakulam","Kochi","+91-484-6699999","asterhospitals.in/hospitals/aster-medcity-kochi"
"42","Dr. GP - Aster MIMS Kozhikode","General Physician","Internal Medicine","MBBS, MD (General Medicine)","12+","Aster MIMS Hospital","Kozhikode","Kozhikode","+91-495-6181800","asterhospitals.in/hospitals/aster-mims-calicut"
"43","Dr. GP - Lisie Hospital","General Physician","General Medicine","MBBS, MD (General Medicine)","10+","Lisie Hospital","Ernakulam","Kochi","+91-484-2401011","lisiehospital.org"
"44","Dr. GP - Baby Memorial","General Physician","General Medicine","MBBS, MD (Gen Med)","8+","Baby Memorial Hospital","Kozhikode","Kozhikode","+91-495-2723272","babymhospital.org"
"45","Dr. GP - Amrita Hospital","General Physician","General Medicine & Acute Care","MBBS, MD","10+","Amrita Institute of Medical Sciences","Ernakulam","Kochi","+91-484-2801234","amritahospitals.org/kochi"
"46","Dr. GP - PRS Hospital","General Physician","General Medicine","MBBS, MD","12+","PRS Hospital","Thiruvananthapuram","Thiruvananthapuram","0471-2733333","prshospital.com"
"47","Dr. GP - Rajagiri Hospital","General Physician","General Internal Medicine","MBBS, MD (Gen Med)","10+","Rajagiri Hospital","Ernakulam","Aluva Kochi","+91-484-2911111","rajagirihospital.com"
"48","Dr. GP - VPS Lakeshore","General Physician","Internal Medicine","MBBS, MD (Gen Med)","10+","VPS Lakeshore Hospital","Ernakulam","Kochi","+91-484-2701000","vpslakeshorehospital.com"
"49","Dr. GP - Medical Trust Hospital","General Physician","General Medicine","MBBS, MD","10+","Medical Trust Hospital","Ernakulam","Kochi","+91-484-2358001","medicaltrusthospital.com"
"50","Dr. GP - Meitra Hospital","General Physician","General Internal Medicine","MBBS, MD","8+","Meitra Hospital","Kozhikode","Kozhikode","+91-495-6060606","meitra.com"
"51","Dr. R. V. Jayakumar","Endocrinologist","Diabetes & Endocrinology (1st Endocrinologist in Kerala)","MBBS, MD, DM (Endocrinology)","40+","Aster Medcity","Ernakulam","Kochi","+91-484-6699999","asterhospitals.in/hospitals/aster-medcity-kochi"
"52","Dr. Vipin V P","Endocrinologist","Endocrinology & Diabetes","MBBS, MD, DM (Endocrinology)","12+","Aster Medcity","Ernakulam","Kochi","+91-484-6699999","asterhospitals.in/hospitals/aster-medcity-kochi"
"53","Dr. Nibu Dominic","Endocrinologist","Diabetes / Kidney Stones / Sex Disorders","MBBS, MD, DM (Endocrinology)","14+","Aster Medcity","Ernakulam","Kochi","+91-484-6699999","asterhospitals.in/hospitals/aster-medcity-kochi"
"54","Dr. Tom Babu","Endocrinologist","Diabetes & Endocrine Disorders","MBBS, MD, DM (Endocrinology)","20+","Silverline Hospital (Medical Director)","Ernakulam","Kochi","+91-484-2352000","silverlinehospital.in"
"55","Dr. Ajish T P","Endocrinologist","Endocrine & Metabolic Disorders","MBBS, MD, DM (Endocrinology)","15+","Silverline Hospital","Ernakulam","Kochi","+91-484-2352000","silverlinehospital.in"
"56","Dr. Ranjith Sukumar","Endocrinologist","Endocrinology","MBBS, MD, DM (Endocrinology)","12+","Silverline Hospital","Ernakulam","Kochi","+91-484-2352000","silverlinehospital.in"
"57","Dr. Endocrinologist - Lourdes Hospital","Endocrinologist","Diabetes & Endocrinology","MBBS, MD (Internal Medicine), DM (Endocrinology)","12+","Lourdes Hospital","Ernakulam","Kochi","+91-484-2012345","lourdeshospital.in"
"58","Dr. Endocrinologist 1 - Medical Trust","Endocrinologist","Endocrinology & Diabetes","MBBS, MD, DM","14+","Medical Trust Hospital","Ernakulam","Kochi","+91-484-2358001","medicaltrusthospital.com"
"59","Dr. Endocrinologist 2 - Medical Trust","Endocrinologist","Endocrinology","MBBS, MD, DM","12+","Medical Trust Hospital","Ernakulam","Kochi","+91-484-2358001","medicaltrusthospital.com"
"60","Dr. Endocrinologist 3 - Medical Trust","Endocrinologist","Endocrinology","MBBS, MD, DM","10+","Medical Trust Hospital","Ernakulam","Kochi","+91-484-2358001","medicaltrusthospital.com"
"61","Dr. Endocrinologist - Meitra Hospital","Endocrinologist","Diabetes & Metabolic Disorders","MD, DM (Endocrinology)","12+","Meitra Hospital","Kozhikode","Kozhikode","+91-495-6060606","meitra.com"
"62","Dr. Endocrinologist 1 - IQRAA Hospital","Endocrinologist","Endocrinology & Diabetes","MBBS, MD, DM","14+","IQRAA Hospital","Kozhikode","Kozhikode","+91-495-2303030","iqraahospital.com"
"63","Dr. Endocrinologist 2 - IQRAA Hospital","Endocrinologist","Endocrinology","MBBS, MD, DNB, DM (PGI Chandigarh)","12+","IQRAA Hospital","Kozhikode","Kozhikode","+91-495-2303030","iqraahospital.com"
"64","Dr. Endocrinologist 3 - IQRAA Hospital","Endocrinologist","Diabetology & Endocrinology","MBBS, MD, FIMSA, PGDHSC","10+","IQRAA Hospital","Kozhikode","Kozhikode","+91-495-2303030","iqraahospital.com"
"65","Dr. Endocrinologist 4 - IQRAA Hospital","Endocrinologist","Diabetes & Endocrinology","MBBS, MD, FDE","8+","IQRAA Hospital","Kozhikode","Kozhikode","+91-495-2303030","iqraahospital.com"
"66","Dr. Endocrinologist - Starcare Hospital","Endocrinologist","Diabetes & Endocrine Disorders","MD, DM (Endocrinology)","10+","Starcare Hospital","Kozhikode","Kozhikode","+91-495-2361616","starcarehospital.com"
"67","Dr. Endocrinologist - Aster MIMS","Endocrinologist","Endocrinology & Diabetes","MBBS, MD, DM","12+","Aster MIMS Hospital","Kozhikode","Kozhikode","+91-495-6181800","asterhospitals.in/hospitals/aster-mims-calicut"
"68","Dr. Muhammed Noufal","Endocrinologist","Endocrinology","MBBS, MD, DM","10+","Private Practice","Kerala","Kerala","—","curofy.com/doctors/kerala/endocrinology"
"69","Dr. Jaison Jacob","Endocrinologist","Endocrinology","MBBS, MD, DM","10+","Private Practice","Kerala","Kerala","—","curofy.com/doctors/kerala/endocrinology"
"70","Dr. Sheena John","Endocrinologist","Endocrinology & Diabetes","MBBS, MD, DM","8+","Private Practice","Kerala","Kerala","—","curofy.com/doctors/kerala/endocrinology"
